Unknown Face,chung.png,woo.png,chang.png
EXH MIA01_X4_SM_0.jpg,True,True,False
EXH INK_005_SM_0.jpg,False,False,True
OPN CER_008_SM_0.jpg,False,False,False
INA AA_PU_003_SM_3.jpg,Fail,Fail,Fail
INA AA_PU_003_SM_2.jpg,False,False,False
EXH MIA01_X4_SM_4.jpg,False,False,True
EXH MIA01_X4_SM_3.jpg,False,False,False
INA AA_PU_003_SM_0.jpg,True,True,False
INA AA_PU_003_SM_1.jpg,False,False,False
EXH MIA01_X4_SM_2.jpg,False,False,False
EXH INK_004_SM_2.jpg,Fail,Fail,Fail
OPN CER_008_SM_9.jpg,Fail,Fail,Fail
Patten Visit_1-10_12.jpg,Fail,Fail,Fail
Patten Visit_1-10_11.jpg,False,False,False
Patten Visit_1-10_10.jpg,False,False,False
Patten Visit_1-10_1.jpg,True,True,False
Pano 98_093_SM_8.jpg,Fail,Fail,Fail
Pano 98_093_SM_6.jpg,False,True,False
Pano 98_093_SM_7.jpg,True,True,False
OPN CER_008_SM_6.jpg,Fail,Fail,Fail
OPN CER_008_SM_8.jpg,Fail,Fail,Fail
OPN CER_008_SM_5.jpg,False,True,False
OPN CER_008_SM_7.jpg,Fail,Fail,Fail
OPN CER_008_SM_3.jpg,False,True,False
OPN CER_008_SM_12.jpg,Fail,Fail,Fail
OPN CER_008_SM_2.jpg,Fail,Fail,Fail
OPN CER_008_SM_4.jpg,False,False,False
Pano 98_093_SM_4.jpg,True,True,False
Pano 98_093_SM_0.jpg,True,True,False
OPN REP_002_SM_2.jpg,Fail,Fail,Fail
OPN REP_002_SM_3.jpg,True,True,False
OPN REP_002_SM_1.jpg,False,False,False
Pano 98_093_SM_1.jpg,False,False,False
Pano 98_093_SM_2.jpg,True,True,False
Pano 98_093_SM_3.jpg,True,True,False
Pano 98_093_SM_5.jpg,Fail,Fail,Fail
OPN REP_002_SM_4.jpg,False,False,False
OPN REP_002_SM_0.jpg,True,True,False
Patten Visit_1-10_0.jpg,True,True,True
Patten Visit_1-10_22.jpg,Fail,Fail,Fail
Patten Visit_1-10_2.jpg,True,True,True
Patten Visit_1-10_21.jpg,Fail,Fail,Fail
Patten Visit_1-10_16.jpg,False,False,False
TOP STU_008_SM_1.jpg,False,False,False
Patten Visit_1-10_20.jpg,Fail,Fail,Fail
Patten Visit_1-10_17.jpg,Fail,Fail,Fail
Patten Visit_1-10_15.jpg,Fail,Fail,Fail
Patten Visit_1-10_18.jpg,Fail,Fail,Fail
Patten Visit_1-10_7.jpg,False,False,False
Patten Visit_1-10_28.jpg,Fail,Fail,Fail
Patten Visit_1-10_14.jpg,False,True,True
Patten Visit_1-10_23.jpg,Fail,Fail,Fail
Patten Visit_1-10_13.jpg,Fail,Fail,Fail
Patten Visit_1-10_19.jpg,Fail,Fail,Fail
Patten Visit_1-10_6.jpg,Fail,Fail,Fail
Patten Visit_1-10_26.jpg,Fail,Fail,Fail
Patten Visit_1-10_3.jpg,False,False,False
Patten Visit_1-10_4.jpg,False,True,False
Patten Visit_1-10_27.jpg,Fail,Fail,Fail
Patten Visit_1-10_5.jpg,Fail,Fail,Fail
Patten Visit_1-10_25.jpg,False,False,False
Patten Visit_1-10_24.jpg,Fail,Fail,Fail
VIS M THATCHER_X4_SM_3.jpg,True,True,False
VIS M THATCHER_X4_SM_1.jpg,False,False,False
VIS M THATCHER_X4_SM_4.jpg,True,True,False
VIS M THATCHER_X4_SM_10.jpg,Fail,Fail,Fail
VIS M THATCHER_X4_SM_2.jpg,False,False,False
VIS DBC_015_SM_7.jpg,Fail,Fail,Fail
VIS DBC_015_SM_6.jpg,Fail,Fail,Fail
VIS A_LAM_015_SM_5.jpg,Fail,Fail,Fail
VIS DBC_015_SM_0.jpg,True,True,False
VIS A_LAM_015_SM_4.jpg,True,True,True
VIS DBC_015_SM_2.jpg,Fail,Fail,Fail
VIS DBC_015_SM_1.jpg,False,False,False
VIS A_LAM_015_SM_3.jpg,Fail,Fail,Fail
VIS DBC_015_SM_5.jpg,Fail,Fail,Fail
VIS DBC_015_SM_3.jpg,True,True,False
VIS A_LAM_015_SM_6.jpg,Fail,Fail,Fail
VIS A_LAM_015_SM_1.jpg,True,False,False
VIS M THATCHER_X4_SM_0.jpg,False,False,False
VIS A_LAM_015_SM_2.jpg,True,True,False
VIS DBC_015_SM_4.jpg,Fail,Fail,Fail
TOP STU_008_SM_3.jpg,True,True,False
VIS A_LAM_015_SM_0.jpg,True,True,False
TOP STU_008_SM_2.jpg,True,True,False
TOP STU_008_SM_4.jpg,False,False,False
Patten Visit_1-10_9.jpg,Fail,Fail,Fail
Patten Visit_1-10_8.jpg,Fail,Fail,Fail
TOP STU_008_SM_0.jpg,False,False,False
VIS PAT_018_SM_0.jpg,False,False,False
VIS PAT_018_SM_1.jpg,False,False,False
VIS PAT_021_SM_3.jpg,False,False,False
VIS PAT_018_SM_10.jpg,Fail,Fail,Fail
VIS PAT_002_SM_0.jpg,True,True,False
VIS PAT_018_SM_9.jpg,Fail,Fail,Fail
VIS M THATCHER_X4_SM_6.jpg,Fail,Fail,Fail
VIS M THATCHER_X4_SM_5.jpg,False,False,False
VIS PAT_018_SM_8.jpg,Fail,Fail,Fail
VIS PAT_018_SM_3.jpg,Fail,Fail,Fail
VIS PAT_018_SM_5.jpg,Fail,Fail,Fail
VIS PAT_018_SM_6.jpg,Fail,Fail,Fail
VIS PAT_018_SM_7.jpg,Fail,Fail,Fail
VIS PAT_018_SM_4.jpg,True,True,False
VIS PAT_018_SM_2.jpg,False,False,False
VIS PAT_018_SM_12.jpg,Fail,Fail,Fail
VIS PAT_018_SM_11.jpg,Fail,Fail,Fail
VIS PAT_002_SM_3.jpg,Fail,Fail,Fail
VIS PAT_002_SM_2.jpg,Fail,Fail,Fail
VIS PAT_002_SM_1.jpg,True,True,False
VIS M THATCHER_X4_SM_7.jpg,Fail,Fail,Fail
VIS M THATCHER_X4_SM_8.jpg,False,False,False
VIS M THATCHER_X4_SM_9.jpg,True,True,False
VIS PAT_021_SM_0.jpg,False,False,False
VIS PAT_021_SM_2.jpg,False,False,False
VIS PAT_021_SM_4.jpg,True,True,False
VIS PAT_021_SM_6.jpg,Fail,Fail,Fail
VIS PAT_021_SM_7.jpg,True,True,False
VIS PAT_021_SM_5.jpg,False,False,False
VIS PAT_021_SM_1.jpg,True,True,False
VIS PAT_042_SM_0.jpg,False,False,False
VIS PAT_042_SM_1.jpg,True,True,False
VIS PAT_042_SM_4.jpg,Fail,Fail,Fail
VIS PAT_042_SM_3.jpg,Fail,Fail,Fail
VIS PAT_021_SM_8.jpg,Fail,Fail,Fail
VIS PAT_042_SM_2.jpg,False,False,False
VIS PAT_021_SM_9.jpg,Fail,Fail,Fail
