x,y,id
1.3418295,12.45483,SOC_TWK_X1SM
26.889643,-20.503181,STU_A-D_001SM
43.217712,-1.8345698,STU_A-D_002SM
70.69407,-42.26286,COM_SOC_002SM
70.61106,-44.917683,COM_SOC_003SM
69.263855,-43.619137,COM_SOC_004SM
68.57028,-44.102524,COM_SOC_005SM
69.59263,-43.71876,COM_SOC_006SM
70.1691,-44.861847,COM_SOC_007SM
70.16596,-44.860596,COM_SOC_008SM
67.826744,-38.193493,COM_SOC_009SM
70.66754,-44.86813,COM_SOC_010SM
68.80927,-43.98326,COM_SOC_011SM
68.69154,-44.07457,COM_SOC_012SM
68.649475,-44.087444,COM_SOC_013SM
69.137024,-43.627487,COM_SOC_014SM
55.314186,-62.192707,STU_AQU1_002SM
-34.11703,-41.574326,STU_AQU1_004SM
53.970974,-60.703186,STU_AQU1_005SM
50.6713,-57.19392,STU_AQU1_006SM
56.500854,-61.65124,STU_AQU1_007SM
55.09563,-59.35334,STU_AQU1_008SM
50.759716,-55.622482,STU_AQU1_010SM
34.609997,15.32436,STU_AQU1_011SM
17.301495,-10.791497,STU_AQU1_012SM
44.505814,-57.61643,STU_AQU1_013SM
49.44549,-56.611916,STU_AQU1_014SM
52.626534,-57.97823,STU_AQU1_015SM
-1.293426,58.144,STU_AQU1_016SM
52.06529,-58.371273,STU_AQU1_017SM
43.112106,-56.5617,STU_AQU1_018SM
49.65063,-57.473866,STU_AQU1_019SM
76.70206,-61.46425,STU_ATH2_001SM
79.30574,-61.73828,STU_ATH2_002SM
39.423695,-48.224987,STU_ATH2_003SM
40.208378,-47.90129,STU_ATH2_005SM
76.45513,-61.791977,STU_ATH2_006SM
78.41859,-61.4383,STU_ATH2_007SM
78.295334,-61.397724,STU_ATH2_008SM
78.68856,-60.35196,STU_ATH3_001SM
78.56563,-61.00942,STU_ATH3_002SM
67.700386,-38.328598,STU_ATH3_003SM
35.739044,17.959324,STU_ATH3_004SM
39.310154,-48.49217,STU_ATH3_005SM
32.358524,-45.458286,STU_ATH3_006SM
37.87272,-48.17755,STU_ATH3_007SM
2.6657946,-7.890121,STU_ATH3_008SM
4.7797036,50.933006,STU_ATH3_010SM
36.26938,16.421568,STU_ATH3_011SM
68.50162,-38.198174,STU_ATH3_012SM
32.04604,-45.27924,STU_ATH3_013SM
38.726223,-48.500343,STU_ATH3_015SM
27.892187,-46.291607,STU_ATH3_016SM
79.861946,-60.194073,STU_ATH3_017SM
79.85725,-60.49109,STU_ATH3_018SM
73.657,-57.196377,STU_ATH3_019SM
8.538136,-0.92147666,STU_ATH3_020SM
79.75874,-61.650845,STU_ATH3_021SM
79.67325,-62.540234,STU_ATH3_022SM
79.80621,-60.324104,STU_ATH3_023SM
-4.9599795,-18.714586,STU_ATH3_024SM
80.172516,-61.366432,STU_ATH3_025SM
66.06745,-33.00266,STU_ATH3_026SM
80.42141,-60.199207,STU_ATH3_027SM
80.223465,-60.497185,STU_ATH3_028SM
8.023508,-1.2531817,STU_ATH3_029SM
79.75452,-62.59663,STU_ATH3_030SM
-10.975016,23.278627,STU_ATH3_031SM
10.017214,20.438911,STU_ATH3_033SM
31.953325,-45.315907,STU_ATH3_034SM
79.71224,-62.551315,STU_ATH3_035SM
73.67344,-58.54843,STU_ATH3_036SM
76.357185,-64.00624,STU_ATH3_037SM
27.892702,-46.380817,STU_ATH3_038SC
-20.97966,-3.0072007,STU_ATH3_039SM
78.907425,-61.34109,STU_ATH3_040SM
35.73929,17.958015,STU_ATH3_041SM
78.227745,-58.758038,STU_ATH96_001SM
66.76681,-34.379234,STU_ATH96_002SM
28.658867,-45.540142,STU_ATH96_003SM
77.39178,-64.58886,STU_ATH96_004SM
27.758518,-45.52104,STU_ATH96_005SM
28.688208,-45.711334,STU_ATH96_006SM
28.133888,-41.891666,STU_ATH96_007SM
74.39011,-59.897316,STU_ATH96_008SM
76.597176,-57.828354,STU_ATH96_009SM
28.00484,-46.396828,STU_ATH96_010SM
30.697168,-33.21433,STU_ATH96_011SM
78.49038,-61.294064,STU_ATH96_012SM
27.886234,-46.13804,STU_ATH96_013SM
65.68236,-41.18854,STU_ATH96_014SM
27.982456,-45.88699,STU_ATH96_015SM
36.055096,15.496406,STU_ATH96_016SM
61.017883,-43.409405,STU_ATH96_017SM
27.851175,-46.12228,STU_ATH96_018SM
73.48526,-58.483437,STU_ATH96_019SM
77.17158,-58.84807,STU_ATH96_020SM
75.2734,-58.703255,STU_ATH96_021SM
78.1218,-56.677063,STU_ATH96_022SM
40.166588,-48.072628,STU_ATH96_023SM
40.22086,-48.25131,STU_ATH96_024SM
39.735275,-49.044075,STU_ATH96_025SM
40.218994,-48.051308,STU_ATH96_026SM
78.24126,-56.957554,STU_ATH96_027SM
78.03241,-56.586937,STU_ATH96_028SM
75.3193,-58.686058,STU_ATH96_029SM
76.05954,-64.55376,STU_ATH96_030SM
36.456314,16.592506,STU_ATH96_031SM
60.49572,-42.879845,STU_ATH96_032SM
74.02281,-62.46391,STU_ATH96_033SM
75.50676,-63.764088,STU_ATH96_034SM
79.99553,-62.123627,STU_ATH96_035SM
52.502426,-26.746864,STU_ATH97_001SM
75.00792,-58.6299,STU_ATH97_002SM
9.468573,-31.146215,STU_ATH97_003SM
52.521885,-26.744333,STU_ATH97_004SM
55.27998,-29.261036,STU_ATH97_005SM
32.134,-24.996937,STU_ATH97_006SM
67.08445,-38.64016,STU_ATH97_007SM
9.078058,-30.527943,STU_ATH97_008SM
54.777355,-27.75067,STU_ATH97_009SM
52.502205,-26.74659,STU_ATH97_010SM
54.98678,-28.751097,STU_ATH97_011SM
65.54111,-42.973278,STU_ATH97_012SM
77.17968,-55.93709,STU_ATH97_013SM
66.33478,-33.361374,STU_ATH97_014SM
5.4997272,-37.522312,STU_ATH97_015SM
62.096798,-43.948616,STU_ATH97_016SM
9.977342,-26.96515,STU_ATH97_017SM
75.253586,-54.70582,STU_ATH97_018SM
74.12194,-62.585785,STU_ATH97_019SM
54.78761,-28.715826,STU_ATH97_020SM
30.495737,-26.84923,STU_ATH97_021SM
29.256783,-43.30445,STU_ATH97_022SM
53.014885,-27.229937,STU_ATH97_023SM
66.49954,-42.327408,STU_ATH97_024SM
17.076435,-32.465878,STU_ATH97_025SM
64.687256,-43.67723,STU_ATH97_026SM
53.08192,-27.313114,STU_ATH97_027SM
53.278744,-27.466755,STU_ATH97_028SM
74.92331,-58.56831,STU_ATH97_029SM
64.24892,-43.237904,STU_ATH97_030SM
9.418618,-30.888945,STU_ATH97_031SM
