,albumID,name,aTitle,aDate,mDate,aURL
135,135,a1-720,Student Hall Life,2012-08-01 02:10:13,2012-08-01 02:10:13,http://digitalimages.ust.hk/gallery2/?p=742
136,136,a1-80,Media Luncheon : George Shen,2012-08-01 02:10:17,2012-08-01 02:10:17,http://digitalimages.ust.hk/gallery2/?p=743
137,137,a1-90,Media Luncheon : Pun-hoi YU,2012-08-01 02:10:20,2012-08-01 02:10:20,http://digitalimages.ust.hk/gallery2/?p=744
138,138,a2-10,Joint House Fun Night,2012-08-01 02:10:25,2012-08-01 02:10:25,http://digitalimages.ust.hk/gallery2/?p=745
139,139,a2-100,Singing Contest organized by Science Students' Association,2012-08-01 02:10:28,2012-08-01 02:10:28,http://digitalimages.ust.hk/gallery2/?p=746
140,140,a2-110,Singing Contest '94,2012-08-01 02:10:31,2012-08-01 02:10:31,http://digitalimages.ust.hk/gallery2/?p=747
141,141,a2-120,Singing Performance by Tarcy So,2012-08-01 02:10:34,2012-08-01 02:10:34,http://digitalimages.ust.hk/gallery2/?p=748
142,142,a2-130,The Debut Concert by the Wind Ensemble,2012-08-01 02:10:36,2012-08-01 02:10:36,http://digitalimages.ust.hk/gallery2/?p=749
143,143,a2-135,University Choir Performance,2012-08-01 02:10:39,2012-08-01 02:10:39,http://digitalimages.ust.hk/gallery2/?p=750
144,144,a2-137,Wind Ensemble,2012-09-10 10:01:25,2012-09-10 10:06:58,http://digitalimages.ust.hk/gallery2/?p=751
145,145,a2-140,Official Welcome of New Students '94,2012-08-01 02:10:45,2012-08-01 02:10:45,http://digitalimages.ust.hk/gallery2/?p=752
146,146,a2-150,Official Welcome of New Students '95,2012-08-01 02:10:47,2012-08-01 02:10:47,http://digitalimages.ust.hk/gallery2/?p=753
147,147,a2-153,Official Welcome of New Students '96,2012-08-01 02:10:57,2012-08-01 02:10:57,http://digitalimages.ust.hk/gallery2/?p=754
148,148,a2-154,Official Welcome of New Students '97,2012-08-01 02:11:01,2012-08-01 02:11:01,http://digitalimages.ust.hk/gallery2/?p=755
149,149,a2-155,MBA Exchange Students Orientation,2012-08-01 02:11:03,2012-08-01 02:11:03,http://digitalimages.ust.hk/gallery2/?p=756
150,150,a2-160,Orientation Camp '94,2012-08-01 02:11:11,2012-08-01 02:11:11,http://digitalimages.ust.hk/gallery2/?p=757
151,151,a2-165,Orientation Camp '98,2012-08-01 02:11:27,2012-08-01 02:11:27,http://digitalimages.ust.hk/gallery2/?p=758
152,152,a2-170,Orientation Night '92,2012-08-01 02:11:30,2012-08-01 02:11:30,http://digitalimages.ust.hk/gallery2/?p=759
153,153,a2-180,Orientation '91,2012-09-10 10:01:26,2012-09-10 10:07:16,http://digitalimages.ust.hk/gallery2/?p=760
154,154,a2-190,Orientation '92,2012-08-01 02:11:34,2012-08-01 02:11:34,http://digitalimages.ust.hk/gallery2/?p=761
155,155,a2-20,Joint House Gala Dinner '94,2012-08-01 02:11:38,2012-08-01 02:11:38,http://digitalimages.ust.hk/gallery2/?p=762
156,156,a2-200,Orientation '92 by Lincoln Potter,2012-09-10 10:01:26,2012-09-10 10:07:43,http://digitalimages.ust.hk/gallery2/?p=763
157,157,a2-210,Orientation '93 Organized by Christian Fellowship,2012-08-01 02:12:03,2012-08-01 02:12:03,http://digitalimages.ust.hk/gallery2/?p=764
158,158,a2-220,Orientation '93 Organized by SU,2012-08-01 02:12:09,2012-08-01 02:12:09,http://digitalimages.ust.hk/gallery2/?p=765
159,159,a2-222,ESU,2012-08-01 02:12:11,2012-08-01 02:12:11,http://digitalimages.ust.hk/gallery2/?p=766
160,160,a2-223,House I-V,2012-08-01 02:12:29,2012-08-01 02:12:29,http://digitalimages.ust.hk/gallery2/?p=767
161,161,a2-225,Math O'Camp,2012-08-01 02:12:35,2012-08-01 02:12:35,http://digitalimages.ust.hk/gallery2/?p=768
162,162,a2-227,Music Society O'Camp (Water Battle),2012-08-01 02:12:38,2012-08-01 02:12:38,http://digitalimages.ust.hk/gallery2/?p=769
163,163,a2-230,O'Camp Counters by Various Society,2012-08-01 02:12:42,2012-08-01 02:12:42,http://digitalimages.ust.hk/gallery2/?p=770
164,164,a2-240,O'Camp '95,2012-08-01 02:12:49,2012-08-01 02:12:49,http://digitalimages.ust.hk/gallery2/?p=771
165,165,a2-245,O'Camp '96,2012-08-01 02:12:57,2012-08-01 02:12:57,http://digitalimages.ust.hk/gallery2/?p=772
166,166,a2-246-1,SU,2012-08-01 02:12:58,2012-08-01 02:12:58,http://digitalimages.ust.hk/gallery2/?p=773
167,167,a2-246,Science Student Association,2012-08-01 02:13:00,2012-08-01 02:13:00,http://digitalimages.ust.hk/gallery2/?p=774
168,168,a2-25,Inter-Universities Bridge Tournament,2012-08-01 02:13:11,2012-08-01 02:13:11,http://digitalimages.ust.hk/gallery2/?p=775
169,169,a2-250,Annual Performance of Drama Club (Rehearsal),2012-08-01 02:13:13,2012-08-01 02:13:13,http://digitalimages.ust.hk/gallery2/?p=776
170,170,a2-260,Arts Fair,2012-08-01 02:13:21,2012-08-01 02:13:21,http://digitalimages.ust.hk/gallery2/?p=777
171,171,a2-270,Dance Performance by Dancing Club,2012-08-01 02:13:22,2012-08-01 02:13:22,http://digitalimages.ust.hk/gallery2/?p=778
172,172,a2-280,Drama Performance,2012-08-01 02:13:26,2012-08-01 02:13:26,http://digitalimages.ust.hk/gallery2/?p=779
173,173,a2-290,Drama Performance,2012-08-01 02:13:28,2012-08-01 02:13:28,http://digitalimages.ust.hk/gallery2/?p=780
174,174,a2-30,Joint Universities Athletic Meet,2012-08-01 02:13:30,2012-08-01 02:13:30,http://digitalimages.ust.hk/gallery2/?p=781
175,175,a2-300,Drama Performance by Drama Club,2012-08-01 02:13:32,2012-08-01 02:13:32,http://digitalimages.ust.hk/gallery2/?p=782
176,176,a2-310,Drama Performance by Drama Club at Culture Center,2012-08-01 02:13:34,2012-08-01 02:13:34,http://digitalimages.ust.hk/gallery2/?p=783
177,177,a2-315,Drama Presentation by Humanities,2012-08-01 02:13:38,2012-08-01 02:13:38,http://digitalimages.ust.hk/gallery2/?p=784
178,178,a2-320,Inter-College Drama Performance,2012-08-01 02:13:41,2012-08-01 02:13:41,http://digitalimages.ust.hk/gallery2/?p=785
179,179,a2-330,Martial Art Performance,2012-08-01 02:13:45,2012-08-01 02:13:45,http://digitalimages.ust.hk/gallery2/?p=786
