photoID,filename,imagepath,aID
264,68-18,evimg2/a1-195/68-18.JPG,46.0
265,68-19,evimg2/a1-195/68-19.JPG,46.0
266,69-20,evimg2/a1-195/69-20.JPG,46.0
267,69-21,evimg2/a1-195/69-21.JPG,46.0
268,69-22,evimg2/a1-195/69-22.JPG,46.0
269,69-23,evimg2/a1-195/69-23.JPG,46.0
270,69-24,evimg2/a1-195/69-24.JPG,46.0
271,69-25,evimg2/a1-195/69-25.JPG,46.0
272,70-26,evimg2/a1-195/70-26.JPG,46.0
273,70-27,evimg2/a1-195/70-27.JPG,46.0
274,70-28,evimg2/a1-195/70-28.JPG,46.0
275,70-29,evimg2/a1-195/70-29.JPG,46.0
276,70-30,evimg2/a1-195/70-30.JPG,46.0
277,70-31,evimg2/a1-195/70-31.JPG,46.0
278,71-32,evimg2/a1-195/71-32.JPG,46.0
279,71-33,evimg2/a1-195/71-33.JPG,46.0
280,71-34,evimg2/a1-195/71-34.JPG,46.0
281,71-35,evimg2/a1-195/71-35.JPG,46.0
282,71-36,evimg2/a1-195/71-36.JPG,46.0
283,71-37,evimg2/a1-195/71-37.JPG,46.0
284,73-32,evimg2/a1-195/73-32.JPG,46.0
285,73-33,evimg2/a1-195/73-33.JPG,46.0
286,73-34,evimg2/a1-195/73-34.JPG,46.0
287,73-35,evimg2/a1-195/73-35.JPG,46.0
288,73-36,evimg2/a1-195/73-36.JPG,46.0
289,73-37,evimg2/a1-195/73-37.JPG,46.0
290,74-2,evimg2/a1-195/74-2.JPG,46.0
291,74-3,evimg2/a1-195/74-3.JPG,46.0
292,74-4,evimg2/a1-195/74-4.JPG,46.0
293,74-5,evimg2/a1-195/74-5.JPG,46.0
294,74-6,evimg2/a1-195/74-6.JPG,46.0
295,74-7,evimg2/a1-195/74-7.JPG,46.0
296,75-10,evimg2/a1-195/75-10.JPG,46.0
297,75-11,evimg2/a1-195/75-11.JPG,46.0
298,75-12,evimg2/a1-195/75-12.JPG,46.0
299,75-13,evimg2/a1-195/75-13.JPG,46.0
300,75-8,evimg2/a1-195/75-8.JPG,46.0
301,75-9,evimg2/a1-195/75-9.JPG,46.0
302,76-14,evimg2/a1-195/76-14.JPG,46.0
303,76-15,evimg2/a1-195/76-15.JPG,46.0
304,76-16,evimg2/a1-195/76-16.JPG,46.0
305,76-17,evimg2/a1-195/76-17.JPG,46.0
306,76-18,evimg2/a1-195/76-18.JPG,46.0
